comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback,meta,is_avoided,attribute,vt_display,is_charging_arc,vt,enable_vt
297,201,75325,http://i1.hdslb.com/bfs/archive/27c051f80d3a440aea2e67c7140415a2a0e39879.jpg,,转阴后爬个楼梯都气虚，是不是得心肌炎了？,1,新冠后剧烈运动？警惕心肌炎！致死率50%,0,nagi真的很文静,495792263,1672475798,03:54,188,989536249,BV1H44y1d7jh,False,0,0,0,0,,0,0,,False,0,0
420,201,119261,http://i1.hdslb.com/bfs/archive/f0b4fe5a9348f2a56899e68e86b6987ab86b9b5b.jpg,,阳了后，你有几天没洗澡了？,1,没忍住洗了个澡，结果心悸、发高烧。。？,0,nagi真的很文静,495792263,1672395266,02:36,254,734446549,BV1BD4y1j7GQ,False,0,0,0,0,,0,0,,False,0,0
570,201,316208,http://i0.hdslb.com/bfs/archive/4bca49ea8f0805886e2cb52733fdaa93834dfd1b.jpg,,新冠辟谣，73%🐑人在半年内不会再次感染？,1,什么人容易反复感染新冠？会一次比一次严重吗？,0,nagi真的很文静,495792263,1671797159,06:33,679,904140917,BV18P4y1i7oG,False,0,0,0,0,,0,0,,False,0,0
1163,201,318967,http://i1.hdslb.com/bfs/archive/7fb7eed301017cdf80662787e99d112e70f65a20.jpg,,逐步开放，阴羊不分，感染了该怎么办？,1,逐步开放，害怕自己万一羊了怎么办？,0,nagi真的很文静,495792263,1670580950,08:28,648,263551799,BV1Ze411A7Kr,False,0,0,0,0,"{'id': 227598, 'title': '硬核科普 涨知识', 'cover': 'https://archive.biliimg.com/bfs/archive/b855f115bc4d6107a64d5ea7e6898cbd803544a6.jpg', 'mid': 495792263, 'intro': '', 'sign_state': 0, 'attribute': 140, 'stat': {'season_id': 227598, 'view': 12027656, 'danmaku': 77132, 'reply': 43366, 'favorite': 329754, 'coin': 224903, 'share': 210171, 'like': 682986, 'mtime': 1696823262, 'vt': 0, 'vv': 0}, 'ep_count': 32, 'first_aid': 766756398, 'ptime': 1675854000, 'ep_num': 32}",0,0,,False,0,0
166,201,135856,http://i0.hdslb.com/bfs/archive/5a05ec9be839b77713f6abcd3d4116f72cf8fea8.jpg,,高度近视导致金鱼眼，有必要改善吗？,1,她为了改善金鱼眼，在眼眶骨上打洞，结果竟然....,0,nagi真的很文静,495792263,1668772200,06:02,345,690326096,BV1u24y117u2,False,0,0,0,0,"{'id': 227590, 'title': '奇葩医美大吐槽', 'cover': 'https://archive.biliimg.com/bfs/archive/1615fb8f17737467d8a287c87ea374040c4989ab.jpg', 'mid': 495792263, 'intro': '', 'sign_state': 0, 'attribute': 140, 'stat': {'season_id': 227590, 'view': 6732544, 'danmaku': 33189, 'reply': 20182, 'favorite': 41253, 'coin': 70326, 'share': 18386, 'like': 365462, 'mtime': 1696823329, 'vt': 0, 'vv': 0}, 'ep_count': 11, 'first_aid': 851053757, 'ptime': 1681469100, 'ep_num': 11}",0,0,,False,0,0
295,201,141864,http://i0.hdslb.com/bfs/archive/8e146aaf7e76214ab080b1acf9b3b13b0f55e341.jpg,,冻卵真的是唯一的后悔药吗？,1,中年少女有必要冻卵吗？成功率比你想象的更低...,0,nagi真的很文静,495792263,1668229200,08:04,445,945027886,BV1ZW4y147FR,False,0,0,0,0,,0,0,,False,0,0
986,201,635055,http://i1.hdslb.com/bfs/archive/0d6163b577d3259975ff06edad9476dcaf7013a7.jpg,,40cm的腰？比头围还小 别管了,1,她为了瘦腰，不惜取出6根肋骨，结果竟然。。。,0,nagi真的很文静,495792263,1668076349,05:08,2043,219896265,BV1c8411a7rd,False,0,0,0,0,,0,0,,False,0,0
91,201,117725,http://i1.hdslb.com/bfs/archive/11a61f0a42f7b5f4267a3ccf9e256bd637197d61.jpg,,一年一度的双11清单来啦！真的平价又好用！,1,进来省钱！25+医学女博士的清醒消费降级！双11清单！,0,nagi真的很文静,495792263,1666953000,07:48,189,389526791,BV13d4y117xK,False,0,0,0,0,"{'id': 227773, 'title': '机智的医生生活', 'cover': 'https://archive.biliimg.com/bfs/archive/b855f115bc4d6107a64d5ea7e6898cbd803544a6.jpg', 'mid': 495792263, 'intro': '', 'sign_state': 0, 'attribute': 140, 'stat': {'season_id': 227773, 'view': 3900238, 'danmaku': 18974, 'reply': 9516, 'favorite': 21758, 'coin': 22808, 'share': 7991, 'like': 145226, 'mtime': 1696823510, 'vt': 0, 'vv': 0}, 'ep_count': 11, 'first_aid': 850455929, 'ptime': 1676028836, 'ep_num': 11}",0,0,,False,0,0
613,201,263437,http://i0.hdslb.com/bfs/archive/25179b1168a0813ff4bede04d1fceaaefcb74670.jpg,,sos！10年前打奥美定的人现在怎么样了.....,1,10年前微创隆胸，现在居然全乳切除……,0,nagi真的很文静,495792263,1666349100,07:01,597,474279507,BV1QK411S73v,False,0,0,0,0,"{'id': 227590, 'title': '奇葩医美大吐槽', 'cover': 'https://archive.biliimg.com/bfs/archive/1615fb8f17737467d8a287c87ea374040c4989ab.jpg', 'mid': 495792263, 'intro': '', 'sign_state': 0, 'attribute': 140, 'stat': {'season_id': 227590, 'view': 6732544, 'danmaku': 33189, 'reply': 20182, 'favorite': 41253, 'coin': 70326, 'share': 18386, 'like': 365462, 'mtime': 1696823329, 'vt': 0, 'vv': 0}, 'ep_count': 11, 'first_aid': 851053757, 'ptime': 1681469100, 'ep_num': 11}",0,0,,False,0,0
527,201,266075,http://i1.hdslb.com/bfs/archive/f92e1f1f1b24251027c681df14b77661189371bf.jpg,,笨蛋美女们都长个心眼吧！,1,意外发现男朋友嫖娼，我该如何自保。。？,0,nagi真的很文静,495792263,1665657821,04:17,342,731574511,BV1VD4y1C759,False,0,0,0,0,"{'id': 227598, 'title': '硬核科普 涨知识', 'cover': 'https://archive.biliimg.com/bfs/archive/b855f115bc4d6107a64d5ea7e6898cbd803544a6.jpg', 'mid': 495792263, 'intro': '', 'sign_state': 0, 'attribute': 140, 'stat': {'season_id': 227598, 'view': 12027656, 'danmaku': 77132, 'reply': 43366, 'favorite': 329754, 'coin': 224903, 'share': 210171, 'like': 682986, 'mtime': 1696823262, 'vt': 0, 'vv': 0}, 'ep_count': 32, 'first_aid': 766756398, 'ptime': 1675854000, 'ep_num': 32}",0,0,,False,0,0
